task,model,reasoning,avg_tokens,avg_perf
Addition,deepseek__deepseek-chat-v3.1,high,5514.58,0.9701979524076771
Addition,deepseek__deepseek-chat-v3.1,none,12.868,0.9412818924852965
Addition,google__gemini-2.5-flash,high,3083.784,0.963884721037093
Addition,google__gemini-2.5-flash,none,21.946,0.9276511786246994
Addition,google__gemini-2.5-pro,high,4760.658,0.9736364202439367
Addition,google__gemini-2.5-pro,minimal,108.19,0.9956111971085911
Addition,meta-llama__llama-4-maverick,none,12.278,0.7913751676792422
Addition,moonshotai__kimi-k2-0905,none,12.972,0.8961956710066742
Addition,openai__gpt-5,high,3779.074,0.999971085558224
Addition,openai__gpt-5,minimal,21.284,0.9371173595044018
Addition,openai__gpt-oss-120b,high,708.104,0.9759983973663792
Addition,qwen__qwen3-235b-a22b-2507,none,21.894,0.8746176691123897
Addition,qwen__qwen3-235b-a22b-thinking-2507,high,3898.896,0.9874063202147325
Division,deepseek__deepseek-chat-v3.1,high,9078.556,0.8417666459911298
Division,deepseek__deepseek-chat-v3.1,none,12.358,0.40814295996275757
Division,google__gemini-2.5-flash,high,15390.424,0.562839983668512
Division,google__gemini-2.5-flash,none,21.869918699186993,0.4516535104504034
Division,google__gemini-2.5-pro,high,11462.32,0.7481978526419412
Division,google__gemini-2.5-pro,minimal,100.192,0.5130992083284018
Division,meta-llama__llama-4-maverick,none,12.288,0.35752061115984746
Division,moonshotai__kimi-k2-0905,none,12.662,0.46774350548353477
Division,openai__gpt-5,high,16165.45,0.966960867549669
Division,openai__gpt-5,minimal,21.868,0.295355235882789
Division,openai__gpt-oss-120b,high,3132.954,0.7998062140588924
Division,qwen__qwen3-235b-a22b-2507,none,22.978,0.46372765976769925
Division,qwen__qwen3-235b-a22b-thinking-2507,high,8161.276,0.7784031861106848
Exponentiation,deepseek__deepseek-chat-v3.1,high,9458.594,0.48600827713605416
Exponentiation,deepseek__deepseek-chat-v3.1,none,93.632,0.209860597264059
Exponentiation,google__gemini-2.5-flash,high,20148.828,0.288918078807403
Exponentiation,google__gemini-2.5-flash,none,21.877637130801688,0.2026575672104509
Exponentiation,google__gemini-2.5-pro,high,8748.43,0.45031020267068284
Exponentiation,google__gemini-2.5-pro,minimal,95.472,0.25476949374737057
Exponentiation,meta-llama__llama-4-maverick,none,12.7,0.20097024040608857
Exponentiation,moonshotai__kimi-k2-0905,none,78.178,0.19878211837567733
Exponentiation,openai__gpt-5,high,28085.692,0.7862367659710073
Exponentiation,openai__gpt-5,minimal,21.216,0.19049390956167597
Exponentiation,openai__gpt-oss-120b,high,2814.7,0.5601638963446108
Exponentiation,qwen__qwen3-235b-a22b-2507,none,38.848,0.21651279230401094
Exponentiation,qwen__qwen3-235b-a22b-thinking-2507,high,9889.366,0.5691583108309696
Interval,deepseek__deepseek-chat-v3.1,high,1490.058,0.998
Interval,deepseek__deepseek-chat-v3.1,none,6.984,0.814
Interval,google__gemini-2.5-flash,high,541.13,1.0
Interval,google__gemini-2.5-flash,none,6.0,0.992
Interval,google__gemini-2.5-pro,high,1013.314,1.0
Interval,google__gemini-2.5-pro,minimal,172.85,0.996
Interval,meta-llama__llama-4-maverick,none,6.802,0.76
Interval,moonshotai__kimi-k2-0905,none,6.892,0.968
Interval,openai__gpt-5,high,513.534,1.0
Interval,openai__gpt-5,minimal,15.0,0.924
Interval,openai__gpt-oss-120b,high,218.164,1.0
Interval,qwen__qwen3-235b-a22b-2507,none,7.0,0.986
Interval,qwen__qwen3-235b-a22b-thinking-2507,high,1379.092,1.0
Mean,deepseek__deepseek-chat-v3.1,high,4820.56,0.9495889088995438
Mean,deepseek__deepseek-chat-v3.1,none,12.078,0.6623828238462841
Mean,google__gemini-2.5-flash,high,2494.346,0.9155721412224607
Mean,google__gemini-2.5-flash,none,19.12877263581489,0.6755898684303909
Mean,google__gemini-2.5-pro,high,4221.24,0.9434402728952516
Mean,google__gemini-2.5-pro,minimal,111.374,0.818790849930238
Mean,meta-llama__llama-4-maverick,none,11.584,0.6001642984397854
Mean,moonshotai__kimi-k2-0905,none,12.064,0.6739963603661148
Mean,openai__gpt-5,high,3612.558,0.9612320636486557
Mean,openai__gpt-5,minimal,20.168,0.5815615925543038
Mean,openai__gpt-oss-120b,high,445.836,0.956237137030054
Mean,qwen__qwen3-235b-a22b-2507,none,19.906,0.5936615773243421
Mean,qwen__qwen3-235b-a22b-thinking-2507,high,3359.118,0.9451222949804107
MinMax,deepseek__deepseek-chat-v3.1,high,975.606,0.998
MinMax,deepseek__deepseek-chat-v3.1,none,12.366,0.998
MinMax,google__gemini-2.5-flash,high,290.466,1.0
MinMax,google__gemini-2.5-flash,none,20.07,1.0
MinMax,google__gemini-2.5-pro,high,574.132,1.0
MinMax,google__gemini-2.5-pro,minimal,111.08,1.0
MinMax,meta-llama__llama-4-maverick,none,12.122,0.994
MinMax,moonshotai__kimi-k2-0905,none,12.192,0.996
MinMax,openai__gpt-5,high,585.224,1.0
MinMax,openai__gpt-5,minimal,19.768,0.988
MinMax,openai__gpt-oss-120b,high,105.028,0.992
MinMax,qwen__qwen3-235b-a22b-2507,none,20.916,0.958
MinMax,qwen__qwen3-235b-a22b-thinking-2507,high,965.196,1.0
Multiplication,deepseek__deepseek-chat-v3.1,high,6920.646,0.8525417606391726
Multiplication,deepseek__deepseek-chat-v3.1,none,11.982,0.38460586517588596
Multiplication,google__gemini-2.5-flash,high,13698.086,0.44878621970185006
Multiplication,google__gemini-2.5-flash,none,21.62993762993763,0.3284243165320532
